종목코드,종목명,시장,현재가,20일평균,상승률,거래량
123410,코리아에프티,KOSDAQ,8280,7245,14.29,339580
332570,PS일렉트로닉스,KOSDAQ,5080,4744,7.07,695093
126600,BGF에코머티리얼즈,KOSDAQ,3520,3223,9.2,183875
112290,와이씨켐,KOSDAQ,21600,20550,5.11,42241
298690,에어부산,KOSPI,1878,1773,5.91,1140363
256940,킵스파마,KOSDAQ,10700,9802,9.16,71493
118990,모트렉스,KOSDAQ,8460,7953,6.37,44048
060150,인선이엔티,KOSDAQ,4445,4223,5.25,127337
244920,에이플러스에셋,KOSPI,8930,8078,10.55,379486
080580,오킨스전자,KOSDAQ,10240,8729,17.3,631420
014280,금강공업,KOSPI,6690,6128,9.16,967367
004310,현대약품,KOSPI,6110,4176,46.3,5136378
464080,에스오에스랩,KOSDAQ,11020,10109,9.01,325419
054450,텔레칩스,KOSDAQ,12910,11985,7.72,81318
040300,YTN,KOSDAQ,4085,3718,9.86,9934537
107600,새빗켐,KOSDAQ,34300,32250,6.36,65302
019210,와이지-원,KOSDAQ,5660,5272,7.36,76008
091580,상신이디피,KOSDAQ,13810,13148,5.03,459369
260870,SK시그넷,KONEX,9790,8974,9.09,5125
108230,톱텍,KOSDAQ,4825,4575,5.45,75711
013580,계룡건설,KOSPI,20150,18782,7.28,44847
217820,원익피앤이,KOSDAQ,3755,3503,7.19,654189
264850,이랜시스,KOSDAQ,5860,5350,9.52,841031
146320,비씨엔씨,KOSDAQ,13650,12789,6.73,43897
340450,지씨지놈,KOSDAQ,7330,6947,5.51,150587
417970,모델솔루션,KOSDAQ,26900,21621,24.42,970681
327260,RF머트리얼즈,KOSDAQ,20500,18426,11.26,234703
456070,이엔셀,KOSDAQ,15580,13478,15.59,168932
069510,에스텍,KOSDAQ,15700,14878,5.52,9248
033340,좋은사람들,KOSDAQ,1730,1575,9.81,758598
220260,켐트로스,KOSDAQ,6200,4640,33.62,880681
049950,미래컴퍼니,KOSDAQ,18510,16963,9.12,98788
001360,삼성제약,KOSPI,1755,1455,20.58,11806860
047310,파워로직스,KOSDAQ,4445,4110,8.14,171465
317400,자이에스앤디,KOSPI,4215,3832,9.98,100660
025950,동신건설,KOSDAQ,19320,16077,20.17,347180
039860,나노엔텍,KOSDAQ,4225,3222,31.11,25916417
011690,와이투솔루션,KOSPI,4350,3405,27.75,1947501
305090,마이크로디지탈,KOSDAQ,8410,7851,7.12,56605
037070,파세코,KOSDAQ,7690,7279,5.64,45668
331740,아우토크립트,KOSDAQ,15870,11891,33.46,932858
217730,강스템바이오텍,KOSDAQ,1600,1517,5.44,325204
080420,모다이노칩,KOSDAQ,1886,1721,9.54,307935
322180,LS티라유텍,KOSDAQ,7180,6709,7.02,225291
002990,금호건설,KOSPI,4035,3802,6.11,78733
099750,이지케어텍,KOSDAQ,22350,17719,26.14,56325
012610,경인양행,KOSPI,3665,3014,21.59,12030696
314130,지놈앤컴퍼니,KOSDAQ,4740,3673,29.05,1458105
101170,우림피티에스,KOSDAQ,10960,7971,37.49,1455972
443670,에스피소프트,KOSDAQ,5840,5464,6.88,135470
021080,에이티넘인베스트,KOSDAQ,3025,2794,8.26,261865
041920,메디아나,KOSDAQ,7880,6008,31.15,4599318
138080,오이솔루션,KOSDAQ,12760,12143,5.08,66220
489500,엘케이켐,KOSDAQ,22850,18718,22.08,106132
208370,셀바스헬스케어,KOSDAQ,5620,4580,22.7,3730576
363280,티와이홀딩스,KOSPI,2820,2658,6.06,36787
149950,아바텍,KOSDAQ,10350,9796,5.66,13086
246710,티앤알바이오팹,KOSDAQ,3080,1877,64.05,5950504
005800,신영와코루,KOSPI,15550,14712,5.69,61943
011280,태림포장,KOSPI,1960,1763,11.17,8436226
068240,다원시스,KOSDAQ,3595,3397,5.81,438715
056090,시지메드텍,KOSDAQ,1325,1072,23.55,5405587
084670,동양고속,KOSPI,46850,17550,166.95,3917126
388870,파로스아이바이오,KOSDAQ,10400,7929,31.16,1392740
418420,라온텍,KOSDAQ,4455,4224,5.47,190065
317830,에스피시스템스,KOSDAQ,12520,10184,22.93,1056585
126730,코칩,KOSDAQ,15460,13591,13.75,970714
010100,한국무브넥스,KOSPI,4380,3923,11.64,845285
219130,타이거일렉,KOSDAQ,20700,19023,8.82,65101
002220,한일철강,KOSPI,4890,4338,12.72,249115
365270,큐라클,KOSDAQ,6150,5401,13.86,275127
142210,유니트론텍,KOSDAQ,6170,5563,10.9,423311
002460,HS화성,KOSPI,12800,11988,6.77,17491
003060,에이프로젠바이오로직스,KOSPI,644,586,9.76,1541430
140670,알에스오토메이션,KOSDAQ,13580,12892,5.34,251284
443250,레뷰코퍼레이션,KOSDAQ,11210,10469,7.07,17549
101670,하이드로리튬,KOSDAQ,2320,2192,5.8,483621
296160,프로젠,KONEX,8110,7617,6.47,11956
014970,삼륭물산,KOSDAQ,8220,7693,6.85,5457709
033290,코웰패션,KOSDAQ,2205,2071,6.45,159142
021320,KCC건설,KOSDAQ,5720,5112,11.89,51563
187790,나노,KOSDAQ,3960,3171,24.86,1046951
013360,일성건설,KOSPI,2245,1502,49.41,4295768
036630,세종텔레콤,KOSDAQ,12220,10542,15.91,93265
049430,코메론,KOSDAQ,13360,12551,6.45,19631
223250,드림씨아이에스,KOSDAQ,5070,4605,10.09,652539
064800,포니링크,KOSDAQ,940,817,15.05,1351942
017370,우신시스템,KOSPI,6630,6313,5.02,12606
067900,와이엔텍,KOSDAQ,6670,6134,8.73,221015
348150,고바이오랩,KOSDAQ,6110,5347,14.26,1264579
950220,네오이뮨텍,KOSDAQ,721,614,17.3,20137353
232680,라온테크,KOSDAQ,9280,7835,18.44,268286
090470,제이스텍,KOSDAQ,6650,4797,38.63,537940
004960,한신공영,KOSPI,10040,9084,10.52,348112
010660,화천기계,KOSPI,5150,4804,7.19,1241745
168330,내츄럴엔도텍,KOSDAQ,3500,2457,42.41,173483
370090,퓨런티어,KOSDAQ,12700,12074,5.18,22715
002230,피에스텍,KOSDAQ,5640,4178,34.97,2469700
067830,세이브존I&C,KOSPI,2605,2456,6.05,51164
348080,큐라티스,KOSDAQ,1318,1026,28.42,1380319
014790,HL D&I,KOSPI,2800,2612,7.2,107266
085910,네오티스,KOSDAQ,7740,5766,34.22,279279
330730,스톤브릿지벤처스,KOSDAQ,5490,5104,7.56,73076
417010,나노팀,KOSDAQ,4930,4627,6.54,13845
014440,영보화학,KOSPI,5020,4765,5.34,98155
059270,해성에어로보틱스,KOSDAQ,8830,7971,10.77,295582
306620,네온테크,KOSDAQ,2170,1945,11.53,691386
380540,옵티코어,KOSDAQ,2010,1635,22.9,1908790
446840,지슨,KOSDAQ,1750,1637,6.86,129963
209640,와이제이링크,KOSDAQ,3340,2768,20.66,1604061
091440,한울소재과학,KOSDAQ,3095,2714,14.04,263091
037350,성도이엔지,KOSDAQ,6190,5740,7.83,104151
378800,샤페론,KOSDAQ,2045,1867,9.51,1563222
166480,코아스템켐온,KOSDAQ,1769,1420,24.57,11649918
273640,와이엠텍,KOSDAQ,8400,7996,5.05,53196
041910,폴라리스AI파마,KOSDAQ,6800,6267,8.5,3122327
228670,레이,KOSDAQ,5790,4947,17.03,249879
265740,엔에프씨,KOSDAQ,5030,4731,6.3,62676
302430,이노메트리,KOSDAQ,9080,7219,25.78,3238187
251630,브이원텍,KOSDAQ,5580,5157,8.2,78639
059120,아진엑스텍,KOSDAQ,9090,8145,11.6,102977
318160,셀바이오휴먼텍,KOSDAQ,8990,8494,5.83,77917
006140,피제이전자,KOSDAQ,5690,5215,9.11,106578
372910,한컴라이프케어,KOSPI,3040,2823,7.69,630900
007820,에스엠코어,KOSDAQ,4160,3918,6.16,103473
389030,지니너스,KOSDAQ,2475,1964,26.01,1338640
217330,싸이토젠,KOSDAQ,3600,3368,6.87,550607
104540,코렌텍,KOSDAQ,6470,5577,16.0,136624
456570,아이엠지티,KONEX,15580,12251,27.17,2837
000850,화천기공,KOSPI,36400,33247,9.48,70892
001260,남광토건,KOSPI,8230,7623,7.96,118769
212560,네오오토,KOSDAQ,6750,5493,22.87,2163589
016250,SGC E&C,KOSDAQ,15850,14296,10.87,21729
388790,라이콤,KOSDAQ,2595,2438,6.44,2609630
039010,현대에이치티,KOSDAQ,9100,8531,6.67,35466
042940,상지건설,KOSDAQ,11430,7840,45.78,1381382
064090,인크레더블버즈,KOSDAQ,1562,1260,23.89,1520073
361570,알비더블유,KOSDAQ,2685,2402,11.75,985113
419080,엔젯,KOSDAQ,7040,5355,31.45,1573771
290740,액트로,KOSDAQ,7290,6134,18.84,91765
950200,소마젠,KOSDAQ,3800,3601,5.53,64030
351330,이삭엔지니어링,KOSDAQ,8810,8163,7.92,94543
263600,덕우전자,KOSDAQ,4550,4095,11.09,147576
393970,대진첨단소재,KOSDAQ,4895,4254,15.07,1610445
155650,와이엠씨,KOSDAQ,3640,3388,7.43,28708
396270,넥스트칩,KOSDAQ,3505,2321,51.01,1905313
094940,푸른기술,KOSDAQ,8180,7663,6.75,86907
466410,사이냅소프트,KOSDAQ,13180,12051,9.36,659984
37550L,DL이앤씨2우(전환),KOSPI,31400,29580,6.15,2230
010240,흥국,KOSDAQ,5380,5105,5.38,96836
196300,HLB펩,KOSDAQ,7070,6624,6.73,31242
058730,다스코,KOSPI,3490,3151,10.73,242507
075180,새론오토모티브,KOSPI,3390,3193,6.14,9408
271830,팸텍,KOSDAQ,2175,1798,20.92,3159051
471820,셀로맥스사이언스,KOSDAQ,5500,4862,13.12,2560889
100660,서암기계공업,KOSDAQ,5020,3718,35.02,10182249
109960,앱토크롬,KOSDAQ,290,273,5.99,546008
051630,진양화학,KOSPI,2975,2719,9.39,66885
049550,잉크테크,KOSDAQ,3210,3001,6.94,21315
084180,수성웹툰,KOSDAQ,3430,3264,5.06,114543
357880,SKAI,KOSDAQ,1703,1611,5.71,5936726
066430,아이로보틱스,KOSDAQ,1556,1189,30.8,16609831
066670,디티씨,KOSDAQ,3255,3004,8.35,23217
129890,앱코,KOSDAQ,1296,1106,17.16,1395153
171010,램테크놀러지,KOSDAQ,4190,3932,6.56,311891
000725,현대건설우,KOSPI,56800,53885,5.41,5242
032960,동일기연,KOSDAQ,14330,13502,6.13,7979
254120,자비스,KOSDAQ,1906,1498,27.2,2412890
173940,에프엔씨엔터,KOSDAQ,3725,3479,7.06,6364
129920,대성하이텍,KOSDAQ,4090,3741,9.31,150814
002920,유성기업,KOSPI,2150,2043,5.23,116677
238120,얼라인드,KOSDAQ,3830,3536,8.31,68130
001465,BYC우,KOSPI,25550,23945,6.7,6062
032790,엠젠솔루션,KOSDAQ,1105,1023,7.94,1690685
069730,DSR제강,KOSPI,3820,3603,6.01,24308
002880,대유에이텍,KOSPI,1164,1074,8.33,270221
178780,일월지엠엘,KOSDAQ,2970,2814,5.52,19690
469750,아이비젼웍스,KOSDAQ,1486,1283,15.75,9119185
332290,누보,KOSDAQ,1292,1221,5.79,338095
096690,에이루트,KOSDAQ,2095,1904,10.03,68869
122830,원포유,KONEX,1485,1362,9.01,4331
128540,에코캡,KOSDAQ,1798,1679,7.06,140189
040160,누리플렉스,KOSDAQ,3990,3430,16.31,93892
067170,오텍,KOSDAQ,2010,1886,6.55,213373
317530,캐리소프트,KOSDAQ,4660,4208,10.73,27036
000760,이화산업,KOSPI,16770,14853,12.91,56984
204020,그리티,KOSDAQ,2365,2182,8.37,92960
307280,원바이오젠,KOSDAQ,6300,5834,7.98,96184
104200,NHN벅스,KOSDAQ,2995,2658,12.67,3373577
340440,세림B&G,KOSDAQ,1561,1474,5.84,1284080
353590,오토앤,KOSDAQ,3380,3193,5.86,79036
457600,벡트,KOSDAQ,3090,2381,29.74,869880
012200,계양전기,KOSPI,1585,1431,10.7,136846
188040,바이오포트,KOSDAQ,8950,8483,5.51,10444
002870,신풍,KOSPI,1200,1137,5.51,134127
043100,알파AI,KOSDAQ,2065,1811,14.01,728578
232830,아이티센피엔에스,KOSDAQ,2450,2234,9.66,165096
263920,휴엠앤씨,KOSDAQ,4060,3833,5.92,87136
064520,테크엘,KOSDAQ,1780,1667,6.74,233023
210120,캔버스엔,KOSDAQ,1636,1436,13.86,454208
137080,나래나노텍,KOSDAQ,3520,3144,11.95,43421
119500,포메탈,KOSDAQ,3300,3015,9.44,844288
276040,스코넥,KOSDAQ,1728,1514,14.12,263894
123010,아이윈플러스,KOSDAQ,1143,1070,6.73,180260
002420,세기상사,KOSPI,6240,5406,15.42,906045
250030,진코스텍,KONEX,14230,12889,10.4,1185
059100,아이컴포넌트,KOSDAQ,5120,4833,5.94,8597
007815,코리아써우,KOSPI,12290,10653,15.37,38675
048770,TPC,KOSDAQ,2280,2170,5.05,43742
214610,롤링스톤,KOSDAQ,4220,3829,10.21,11041
145210,다이나믹디자인,KOSPI,918,832,10.22,65952
017000,신원종합개발,KOSDAQ,2950,2765,6.68,549041
377330,이지트로닉스,KOSDAQ,4025,3764,6.93,21025
002820,SUN&L,KOSPI,2550,2415,5.59,841374
012340,뉴인텍,KOSDAQ,592,446,32.68,15709231
233990,질경이,KONEX,2090,1946,7.38,3401
032680,소프트센,KOSDAQ,293,274,6.66,599883
310870,디와이씨,KOSDAQ,1427,1330,7.22,174834
290560,신시웨이,KOSDAQ,7810,7199,8.48,26888
496320,본시스템즈,KONEX,28750,24945,15.25,0
317240,TS트릴리온,KOSDAQ,248,226,9.28,8258553
197140,디지캡,KOSDAQ,2145,2017,6.3,9214
478780,대신밸런스제18호스팩,KOSDAQ,3450,2998,15.08,124497
014910,성문전자,KOSPI,1152,1082,6.43,21232
076610,해성옵틱스,KOSDAQ,573,527,8.7,568557
327610,펨토바이오메드,KONEX,2990,1919,55.79,479
192390,윈하이텍,KOSDAQ,2270,2161,5.02,18873
341170,퓨쳐메디신,KONEX,2310,1140,102.5,1932
448760,IBKS제22호스팩,KOSDAQ,5480,4772,14.83,411283
121890,에스디시스템,KOSDAQ,1783,1655,7.71,232873
060230,제이케이시냅스,KOSDAQ,3060,2773,10.35,18860
196700,웹스,KOSDAQ,1626,1522,6.77,121234
086220,광동헬스바이오,KONEX,1657,1348,22.9,2322
154040,다산솔루에타,KOSDAQ,1169,1103,5.96,62146
101400,엔시트론,KOSDAQ,310,294,5.23,125583
351020,미쥬,KONEX,9360,7860,19.08,201
043360,디지아이,KOSDAQ,2230,2074,7.52,35161
448830,미래에셋비전스팩3호,KOSDAQ,3745,2480,50.99,508693
052960,태양3C,KONEX,3700,3436,7.68,106
169670,코스텍시스템,KONEX,6190,5667,9.22,18
121850,코이즈,KOSDAQ,5770,827,597.7,357840
065690,파커스,KOSDAQ,1230,1019,20.68,402808
026910,광진실업,KOSDAQ,2675,2498,7.07,16557
112190,KC산업,KONEX,1589,1451,9.5,884
331660,한국미라클피플사,KONEX,13150,11124,18.21,10
289170,바이오텐,KONEX,3695,3346,10.42,1
004105,태양금속우,KOSPI,3680,3396,8.34,34812
199290,바이오프로테크,KONEX,650,513,26.51,1
189350,코셋,KONEX,1702,1579,7.75,1
00781K,코리아써키트2우B,KOSPI,9760,8952,9.02,5673
318660,타임기술,KONEX,3310,2338,41.57,7300
014285,금강공업우,KOSPI,11720,9808,19.49,29825
236340,메디젠휴먼케어,KONEX,2100,1653,26.98,1
36328K,티와이홀딩스우,KOSPI,4760,4527,5.14,23614
009415,태영건설우,KOSPI,8510,5361,58.72,169034
223220,로지스몬,KONEX,6010,802,648.54,5
002995,금호건설우,KOSPI,15350,11667,31.57,50439
140660,위월드,KONEX,1499,1347,11.21,1
012205,계양전기우,KOSPI,3230,2955,9.31,459
005965,동부건설우,KOSPI,19600,16204,20.96,47196
011155,CJ씨푸드1우,KOSPI,16370,15047,8.79,1368
