code,name,market,first_detected,last_detected
329180,HD현대중공업,KOSPI,2025-12-11,2025-12-12
010130,고려아연,KOSPI,2025-12-11,2025-12-12
000810,삼성화재,KOSPI,2025-12-11,2025-12-11
030200,KT,KOSPI,2025-12-11,2025-12-12
047050,포스코인터내셔널,KOSPI,2025-12-11,2025-12-12
443060,HD현대마린솔루션,KOSPI,2025-12-11,2025-12-12
010620,HD현대미포,KOSPI,2025-12-11,2025-12-12
029780,삼성카드,KOSPI,2025-12-11,2025-12-12
088980,맥쿼리인프라,KOSPI,2025-12-11,2025-12-12
062040,산일전기,KOSPI,2025-12-11,2025-12-12
108490,로보티즈,KOSDAQ,2025-12-11,2025-12-12
002380,KCC,KOSPI,2025-12-11,2025-12-12
052690,한전기술,KOSPI,2025-12-11,2025-12-12
042670,HD현대인프라코어,KOSPI,2025-12-11,2025-12-12
012750,에스원,KOSPI,2025-12-11,2025-12-12
026960,동서,KOSPI,2025-12-11,2025-12-12
068760,셀트리온제약,KOSDAQ,2025-12-11,2025-12-12
009970,영원무역홀딩스,KOSPI,2025-12-11,2025-12-12
103590,일진전기,KOSPI,2025-12-11,2025-12-12
005930,삼성전자,KOSPI,2025-12-12,2025-12-12
005935,삼성전자우,KOSPI,2025-12-12,2025-12-12
028260,삼성물산,KOSPI,2025-12-12,2025-12-12
034020,두산에너빌리티,KOSPI,2025-12-12,2025-12-12
000270,기아,KOSPI,2025-12-12,2025-12-12
267260,HD현대일렉트릭,KOSPI,2025-12-12,2025-12-12
012450,한화에어로스페이스,KOSPI,2025-12-12,2025-12-12
012330,현대모비스,KOSPI,2025-12-12,2025-12-12
011200,HMM,KOSPI,2025-12-12,2025-12-12
064350,현대로템,KOSPI,2025-12-12,2025-12-12
005490,POSCO홀딩스,KOSPI,2025-12-12,2025-12-12
010140,삼성중공업,KOSPI,2025-12-12,2025-12-12
138040,메리츠금융지주,KOSPI,2025-12-12,2025-12-12
267250,HD현대,KOSPI,2025-12-12,2025-12-12
024110,기업은행,KOSPI,2025-12-12,2025-12-12
034730,SK,KOSPI,2025-12-12,2025-12-12
086280,현대글로비스,KOSPI,2025-12-12,2025-12-12
003550,LG,KOSPI,2025-12-12,2025-12-12
047810,한국항공우주,KOSPI,2025-12-12,2025-12-12
272210,한화시스템,KOSPI,2025-12-12,2025-12-12
071050,한국금융지주,KOSPI,2025-12-12,2025-12-12
277810,레인보우로보틱스,KOSDAQ,2025-12-12,2025-12-12
000720,현대건설,KOSPI,2025-12-12,2025-12-12
003490,대한항공,KOSPI,2025-12-12,2025-12-12
180640,한진칼,KOSPI,2025-12-12,2025-12-12
039490,키움증권,KOSPI,2025-12-12,2025-12-12
064400,LG씨엔에스,KOSPI,2025-12-12,2025-12-12
000880,한화,KOSPI,2025-12-12,2025-12-12
006260,LS,KOSPI,2025-12-12,2025-12-12
241560,두산밥캣,KOSPI,2025-12-12,2025-12-12
454910,두산로보틱스,KOSPI,2025-12-12,2025-12-12
138930,BNK금융지주,KOSPI,2025-12-12,2025-12-12
175330,JB금융지주,KOSPI,2025-12-12,2025-12-12
005385,현대차우,KOSPI,2025-12-12,2025-12-12
004020,현대제철,KOSPI,2025-12-12,2025-12-12
001440,대한전선,KOSPI,2025-12-12,2025-12-12
082740,한화엔진,KOSPI,2025-12-12,2025-12-12
036460,한국가스공사,KOSPI,2025-12-12,2025-12-12
017800,현대엘리베이터,KOSPI,2025-12-12,2025-12-12
011780,금호석유화학,KOSPI,2025-12-12,2025-12-12
071970,HD현대마린엔진,KOSPI,2025-12-12,2025-12-12
009540,HD한국조선해양,KOSPI,2025-12-12,2025-12-12
016360,삼성증권,KOSPI,2025-12-12,2025-12-12
088350,한화생명,KOSPI,2025-12-12,2025-12-12
003690,코리안리,KOSPI,2025-12-12,2025-12-12
462870,시프트업,KOSPI,2025-12-12,2025-12-12
009420,한올바이오파마,KOSPI,2025-12-12,2025-12-12
097230,HJ중공업,KOSPI,2025-12-12,2025-12-12
475830,오름테라퓨틱,KOSDAQ,2025-12-12,2025-12-12
160190,하이젠알앤엠,KOSDAQ,2025-12-12,2025-12-12
023530,롯데쇼핑,KOSPI,2025-12-12,2025-12-12
006280,녹십자,KOSPI,2025-12-12,2025-12-12
006040,동원산업,KOSPI,2025-12-12,2025-12-12
483650,달바글로벌,KOSPI,2025-12-12,2025-12-12
083650,비에이치아이,KOSDAQ,2025-12-12,2025-12-12
023590,다우기술,KOSPI,2025-12-12,2025-12-12
011210,현대위아,KOSPI,2025-12-12,2025-12-12
058610,에스피지,KOSDAQ,2025-12-12,2025-12-12
060370,LS마린솔루션,KOSDAQ,2025-12-12,2025-12-12
006360,GS건설,KOSPI,2025-12-12,2025-12-12
375500,DL이앤씨,KOSPI,2025-12-12,2025-12-12
445680,큐리옥스바이오시스템즈,KOSDAQ,2025-12-12,2025-12-12
007340,DN오토모티브,KOSPI,2025-12-12,2025-12-12
047040,대우건설,KOSPI,2025-12-12,2025-12-12
437730,삼현,KOSDAQ,2025-12-12,2025-12-12
017960,한국카본,KOSPI,2025-12-12,2025-12-12
003570,SNT다이내믹스,KOSPI,2025-12-12,2025-12-12
077970,STX엔진,KOSPI,2025-12-12,2025-12-12
001430,세아베스틸지주,KOSPI,2025-12-12,2025-12-12
466100,클로봇,KOSDAQ,2025-12-12,2025-12-12
003540,대신증권,KOSPI,2025-12-12,2025-12-12
00680K,미래에셋증권2우B,KOSPI,2025-12-12,2025-12-12
249420,일동제약,KOSPI,2025-12-12,2025-12-12
000500,가온전선,KOSPI,2025-12-12,2025-12-12
001800,오리온홀딩스,KOSPI,2025-12-12,2025-12-12
071320,지역난방공사,KOSPI,2025-12-12,2025-12-12
100090,SK오션플랜트,KOSPI,2025-12-12,2025-12-12
319400,현대무벡스,KOSDAQ,2025-12-12,2025-12-12
317450,명인제약,KOSPI,2025-12-12,2025-12-12
424870,이뮨온시아,KOSDAQ,2025-12-12,2025-12-12
389470,인벤티지랩,KOSDAQ,2025-12-12,2025-12-12
388720,유일로보틱스,KOSDAQ,2025-12-12,2025-12-12
030610,교보증권,KOSPI,2025-12-12,2025-12-12
229640,LS에코에너지,KOSPI,2025-12-12,2025-12-12
012630,HDC,KOSPI,2025-12-12,2025-12-12
082640,동양생명,KOSPI,2025-12-12,2025-12-12
397030,에이프릴바이오,KOSDAQ,2025-12-12,2025-12-12
031980,피에스케이홀딩스,KOSDAQ,2025-12-12,2025-12-12
100840,SNT에너지,KOSPI,2025-12-12,2025-12-12
009450,경동나비엔,KOSPI,2025-12-12,2025-12-12
090360,로보스타,KOSDAQ,2025-12-12,2025-12-12
002350,넥센타이어,KOSPI,2025-12-12,2025-12-12
071055,한국금융지주우,KOSPI,2025-12-12,2025-12-12
039130,하나투어,KOSPI,2025-12-12,2025-12-12
102940,코오롱생명과학,KOSDAQ,2025-12-12,2025-12-12
003620,KG모빌리티,KOSPI,2025-12-12,2025-12-12
475150,SK이터닉스,KOSPI,2025-12-12,2025-12-12
079900,전진건설로봇,KOSPI,2025-12-12,2025-12-12
053800,안랩,KOSDAQ,2025-12-12,2025-12-12
090710,휴림로봇,KOSDAQ,2025-12-12,2025-12-12
372320,큐로셀,KOSDAQ,2025-12-12,2025-12-12
002020,코오롱,KOSPI,2025-12-12,2025-12-12
460930,현대힘스,KOSDAQ,2025-12-12,2025-12-12
025540,한국단자,KOSPI,2025-12-12,2025-12-12
125490,한라캐스트,KOSDAQ,2025-12-12,2025-12-12
001570,금양,KOSPI,2025-12-12,2025-12-12
001270,부국증권,KOSPI,2025-12-12,2025-12-12
099320,쎄트렉아이,KOSDAQ,2025-12-12,2025-12-12
383800,LX홀딩스,KOSPI,2025-12-12,2025-12-12
322000,HD현대에너지솔루션,KOSPI,2025-12-12,2025-12-12
006380,카프로,KOSPI,2025-12-12,2025-12-12
056080,유진로봇,KOSDAQ,2025-12-12,2025-12-12
094170,동운아나텍,KOSDAQ,2025-12-12,2025-12-12
138610,나이벡,KOSDAQ,2025-12-12,2025-12-12
003030,세아제강지주,KOSPI,2025-12-12,2025-12-12
017940,E1,KOSPI,2025-12-12,2025-12-12
093320,케이아이엔엑스,KOSDAQ,2025-12-12,2025-12-12
309710,아이티켐,KOSDAQ,2025-12-12,2025-12-12
016590,신대양제지,KOSPI,2025-12-12,2025-12-12
119850,지엔씨에너지,KOSDAQ,2025-12-12,2025-12-12
044490,태웅,KOSDAQ,2025-12-12,2025-12-12
033100,제룡전기,KOSDAQ,2025-12-12,2025-12-12
003545,대신증권우,KOSPI,2025-12-12,2025-12-12
016380,KG스틸,KOSPI,2025-12-12,2025-12-12
016800,퍼시스,KOSPI,2025-12-12,2025-12-12
029530,신도리코,KOSPI,2025-12-12,2025-12-12
100790,미래에셋벤처투자,KOSDAQ,2025-12-12,2025-12-12
005810,풍산홀딩스,KOSPI,2025-12-12,2025-12-12
004690,삼천리,KOSPI,2025-12-12,2025-12-12
003300,한일홀딩스,KOSPI,2025-12-12,2025-12-12
038500,삼표시멘트,KOSDAQ,2025-12-12,2025-12-12
097520,엠씨넥스,KOSPI,2025-12-12,2025-12-12
455900,엔젤로보틱스,KOSDAQ,2025-12-12,2025-12-12
005610,SPC삼립,KOSPI,2025-12-12,2025-12-12
009900,명신산업,KOSPI,2025-12-12,2025-12-12
059090,미코,KOSDAQ,2025-12-12,2025-12-12
005389,현대차3우B,KOSPI,2025-12-12,2025-12-12
092200,디아이씨,KOSPI,2025-12-12,2025-12-12
183190,아세아시멘트,KOSPI,2025-12-12,2025-12-12
347700,스피어,KOSDAQ,2025-12-12,2025-12-12
014830,유니드,KOSPI,2025-12-12,2025-12-12
033790,피노,KOSDAQ,2025-12-12,2025-12-12
475400,씨메스,KOSDAQ,2025-12-12,2025-12-12
460860,동국제강,KOSPI,2025-12-12,2025-12-12
105840,우진,KOSPI,2025-12-12,2025-12-12
079940,가비아,KOSDAQ,2025-12-12,2025-12-12
084010,대한제강,KOSPI,2025-12-12,2025-12-12
304100,솔트룩스,KOSDAQ,2025-12-12,2025-12-12
015360,INVENI,KOSPI,2025-12-12,2025-12-12
027410,BGF,KOSPI,2025-12-12,2025-12-12
338840,와이바이오로직스,KOSDAQ,2025-12-12,2025-12-12
117730,티로보틱스,KOSDAQ,2025-12-12,2025-12-12
098070,한텍,KOSDAQ,2025-12-12,2025-12-12
403550,쏘카,KOSPI,2025-12-12,2025-12-12
031330,에스에이엠티,KOSDAQ,2025-12-12,2025-12-12
441270,파인엠텍,KOSDAQ,2025-12-12,2025-12-12
348340,뉴로메카,KOSDAQ,2025-12-12,2025-12-12
295310,에이치브이엠,KOSDAQ,2025-12-12,2025-12-12
035890,서희건설,KOSDAQ,2025-12-12,2025-12-12
034120,SBS,KOSPI,2025-12-12,2025-12-12
005945,NH투자증권우,KOSPI,2025-12-12,2025-12-12
065660,안트로젠,KOSDAQ,2025-12-12,2025-12-12
003800,에이스침대,KOSDAQ,2025-12-12,2025-12-12
126560,현대퓨처넷,KOSPI,2025-12-12,2025-12-12
448900,한국피아이엠,KOSDAQ,2025-12-12,2025-12-12
389260,대명에너지,KOSDAQ,2025-12-12,2025-12-12
011930,신성이엔지,KOSPI,2025-12-12,2025-12-12
092230,KPX홀딩스,KOSPI,2025-12-12,2025-12-12
126720,수산인더스트리,KOSPI,2025-12-12,2025-12-12
009680,모토닉,KOSPI,2025-12-12,2025-12-12
459510,나우로보틱스,KOSDAQ,2025-12-12,2025-12-12
123890,한국자산신탁,KOSPI,2025-12-12,2025-12-12
002320,한진,KOSPI,2025-12-12,2025-12-12
092460,한라IMS,KOSDAQ,2025-12-12,2025-12-12
003120,일성아이에스,KOSPI,2025-12-12,2025-12-12
035810,이지홀딩스,KOSDAQ,2025-12-12,2025-12-12
036890,진성티이씨,KOSDAQ,2025-12-12,2025-12-12
286940,롯데이노베이트,KOSPI,2025-12-12,2025-12-12
000050,경방,KOSPI,2025-12-12,2025-12-12
481070,에이유브랜즈,KOSDAQ,2025-12-12,2025-12-12
007690,국도화학,KOSPI,2025-12-12,2025-12-12
002900,TYM,KOSPI,2025-12-12,2025-12-12
006340,대원전선,KOSPI,2025-12-12,2025-12-12
018310,삼목에스폼,KOSDAQ,2025-12-12,2025-12-12
004360,세방,KOSPI,2025-12-12,2025-12-12
462860,더즌,KOSDAQ,2025-12-12,2025-12-12
452430,사피엔반도체,KOSDAQ,2025-12-12,2025-12-12
027360,아주IB투자,KOSDAQ,2025-12-12,2025-12-12
151860,KG에코솔루션,KOSDAQ,2025-12-12,2025-12-12
299030,하나기술,KOSDAQ,2025-12-12,2025-12-12
018000,유니슨,KOSDAQ,2025-12-12,2025-12-12
006910,보성파워텍,KOSDAQ,2025-12-12,2025-12-12
023410,유진기업,KOSDAQ,2025-12-12,2025-12-12
255220,SG,KOSDAQ,2025-12-12,2025-12-12
368770,파이버프로,KOSDAQ,2025-12-12,2025-12-12
290690,소룩스,KOSDAQ,2025-12-12,2025-12-12
236200,슈프리마,KOSDAQ,2025-12-12,2025-12-12
108670,LX하우시스,KOSPI,2025-12-12,2025-12-12
034810,해성산업,KOSDAQ,2025-12-12,2025-12-12
078020,LS증권,KOSDAQ,2025-12-12,2025-12-12
122900,아이마켓코리아,KOSPI,2025-12-12,2025-12-12
000490,대동,KOSPI,2025-12-12,2025-12-12
000680,LS네트웍스,KOSPI,2025-12-12,2025-12-12
182400,엔케이맥스,KOSDAQ,2025-12-12,2025-12-12
013120,동원개발,KOSDAQ,2025-12-12,2025-12-12
484810,티엑스알로보틱스,KOSDAQ,2025-12-12,2025-12-12
270660,에브리봇,KOSDAQ,2025-12-12,2025-12-12
001130,대한제분,KOSPI,2025-12-12,2025-12-12
121800,비덴트,KOSDAQ,2025-12-12,2025-12-12
025000,KPX케미칼,KOSPI,2025-12-12,2025-12-12
150840,인트로메딕,KOSDAQ,2025-12-12,2025-12-12
037710,광주신세계,KOSPI,2025-12-12,2025-12-12
043370,피에이치에이,KOSDAQ,2025-12-12,2025-12-12
007570,일양약품,KOSPI,2025-12-12,2025-12-12
001750,한양증권,KOSPI,2025-12-12,2025-12-12
042370,비츠로테크,KOSDAQ,2025-12-12,2025-12-12
000480,CR홀딩스,KOSPI,2025-12-12,2025-12-12
058430,포스코스틸리온,KOSPI,2025-12-12,2025-12-12
121440,골프존홀딩스,KOSDAQ,2025-12-12,2025-12-12
190510,나무가,KOSDAQ,2025-12-12,2025-12-12
208340,파멥신,KOSDAQ,2025-12-12,2025-12-12
003610,방림,KOSPI,2025-12-12,2025-12-12
037460,삼지전자,KOSDAQ,2025-12-12,2025-12-12
02826K,삼성물산우B,KOSPI,2025-12-12,2025-12-12
234340,헥토파이낸셜,KOSDAQ,2025-12-12,2025-12-12
068930,디지털대성,KOSDAQ,2025-12-12,2025-12-12
039570,HDC랩스,KOSPI,2025-12-12,2025-12-12
092130,이크레더블,KOSDAQ,2025-12-12,2025-12-12
214180,헥토이노베이션,KOSDAQ,2025-12-12,2025-12-12
057880,푸른소나무,KOSDAQ,2025-12-12,2025-12-12
005680,삼영전자,KOSPI,2025-12-12,2025-12-12
353810,이지바이오,KOSDAQ,2025-12-12,2025-12-12
060150,인선이엔티,KOSDAQ,2025-12-12,2025-12-12
457550,우진엔텍,KOSDAQ,2025-12-12,2025-12-12
001045,CJ우,KOSPI,2025-12-12,2025-12-12
014280,금강공업,KOSPI,2025-12-12,2025-12-12
134380,미원화학,KOSPI,2025-12-12,2025-12-12
004380,삼익THK,KOSPI,2025-12-12,2025-12-12
080580,오킨스전자,KOSDAQ,2025-12-12,2025-12-12
456010,아이씨티케이,KOSDAQ,2025-12-12,2025-12-12
003547,대신증권2우B,KOSPI,2025-12-12,2025-12-12
293480,하나제약,KOSPI,2025-12-12,2025-12-12
264850,이랜시스,KOSDAQ,2025-12-12,2025-12-12
091580,상신이디피,KOSDAQ,2025-12-12,2025-12-12
003650,미창석유,KOSPI,2025-12-12,2025-12-12
400760,NH올원리츠,KOSPI,2025-12-12,2025-12-12
143160,아이디스,KOSDAQ,2025-12-12,2025-12-12
033160,엠케이전자,KOSDAQ,2025-12-12,2025-12-12
340450,지씨지놈,KOSDAQ,2025-12-12,2025-12-12
016790,현대사료,KOSDAQ,2025-12-12,2025-12-12
011040,경동제약,KOSDAQ,2025-12-12,2025-12-12
015230,대창단조,KOSPI,2025-12-12,2025-12-12
037560,LG헬로비전,KOSPI,2025-12-12,2025-12-12
314130,지놈앤컴퍼니,KOSDAQ,2025-12-12,2025-12-12
002100,경농,KOSPI,2025-12-12,2025-12-12
297090,씨에스베어링,KOSDAQ,2025-12-12,2025-12-12
460940,피앤에스로보틱스,KOSDAQ,2025-12-12,2025-12-12
094820,일진파워,KOSDAQ,2025-12-12,2025-12-12
084670,동양고속,KOSPI,2025-12-12,2025-12-12
090350,노루페인트,KOSPI,2025-12-12,2025-12-12
025820,이구산업,KOSPI,2025-12-12,2025-12-12
463020,뉴엔AI,KOSDAQ,2025-12-12,2025-12-12
215100,로보로보,KOSDAQ,2025-12-12,2025-12-12
041920,메디아나,KOSDAQ,2025-12-12,2025-12-12
462520,조선내화,KOSPI,2025-12-12,2025-12-12
158430,아톤,KOSDAQ,2025-12-12,2025-12-12
096250,와이즈넛,KOSDAQ,2025-12-12,2025-12-12
002170,삼양통상,KOSPI,2025-12-12,2025-12-12
004560,현대비앤지스틸,KOSPI,2025-12-12,2025-12-12
211270,AP위성,KOSDAQ,2025-12-12,2025-12-12
214680,디알텍,KOSDAQ,2025-12-12,2025-12-12
000300,DH오토넥스,KOSPI,2025-12-12,2025-12-12
083420,그린케미칼,KOSPI,2025-12-12,2025-12-12
070960,모나용평,KOSPI,2025-12-12,2025-12-12
007330,푸른저축은행,KOSDAQ,2025-12-12,2025-12-12
003460,유화증권,KOSPI,2025-12-12,2025-12-12
000700,유수홀딩스,KOSPI,2025-12-12,2025-12-12
217730,강스템바이오텍,KOSDAQ,2025-12-12,2025-12-12
066410,버킷스튜디오,KOSDAQ,2025-12-12,2025-12-12
003830,대한화섬,KOSPI,2025-12-12,2025-12-12
143240,사람인,KOSDAQ,2025-12-12,2025-12-12
046070,코다코,KOSDAQ,2025-12-12,2025-12-12
052330,코텍,KOSDAQ,2025-12-12,2025-12-12
008110,대동전자,KOSPI,2025-12-12,2025-12-12
322180,LS티라유텍,KOSDAQ,2025-12-12,2025-12-12
388050,지투파워,KOSDAQ,2025-12-12,2025-12-12
037070,파세코,KOSDAQ,2025-12-12,2025-12-12
086980,쇼박스,KOSDAQ,2025-12-12,2025-12-12
109610,에스와이,KOSDAQ,2025-12-12,2025-12-12
089600,KT나스미디어,KOSDAQ,2025-12-12,2025-12-12
210540,디와이파워,KOSPI,2025-12-12,2025-12-12
068790,DMS,KOSDAQ,2025-12-12,2025-12-12
094280,효성ITX,KOSPI,2025-12-12,2025-12-12
021080,에이티넘인베스트,KOSDAQ,2025-12-12,2025-12-12
298000,효성화학,KOSPI,2025-12-12,2025-12-12
004970,신라교역,KOSPI,2025-12-12,2025-12-12
052420,오성첨단소재,KOSDAQ,2025-12-12,2025-12-12
322510,제이엘케이,KOSDAQ,2025-12-12,2025-12-12
226590,엠디바이스,KOSDAQ,2025-12-12,2025-12-12
223250,드림씨아이에스,KOSDAQ,2025-12-12,2025-12-12
016710,대성홀딩스,KOSPI,2025-12-12,2025-12-12
096240,크레버스,KOSDAQ,2025-12-12,2025-12-12
071200,인피니트헬스케어,KOSDAQ,2025-12-12,2025-12-12
274090,켄코아에어로스페이스,KOSDAQ,2025-12-12,2025-12-12
264450,유비쿼스,KOSDAQ,2025-12-12,2025-12-12
366030,공구우먼,KOSDAQ,2025-12-12,2025-12-12
474170,루미르,KOSDAQ,2025-12-12,2025-12-12
072870,메가스터디,KOSDAQ,2025-12-12,2025-12-12
030960,양지사,KOSDAQ,2025-12-12,2025-12-12
033180,KH 필룩스,KOSPI,2025-12-12,2025-12-12
019440,세아특수강,KOSPI,2025-12-12,2025-12-12
140670,알에스오토메이션,KOSDAQ,2025-12-12,2025-12-12
002460,HS화성,KOSPI,2025-12-12,2025-12-12
077500,유니퀘스트,KOSPI,2025-12-12,2025-12-12
014580,태경비케이,KOSPI,2025-12-12,2025-12-12
004960,한신공영,KOSPI,2025-12-12,2025-12-12
219130,타이거일렉,KOSDAQ,2025-12-12,2025-12-12
004140,동방,KOSPI,2025-12-12,2025-12-12
085670,뉴프렉스,KOSDAQ,2025-12-12,2025-12-12
269620,시스웍,KOSDAQ,2025-12-12,2025-12-12
007110,일신석재,KOSPI,2025-12-12,2025-12-12
004080,신흥,KOSPI,2025-12-12,2025-12-12
451760,컨텍,KOSDAQ,2025-12-12,2025-12-12
361390,제노코,KOSDAQ,2025-12-12,2025-12-12
309960,LB인베스트먼트,KOSDAQ,2025-12-12,2025-12-12
002230,피에스텍,KOSDAQ,2025-12-12,2025-12-12
125020,티씨머티리얼즈,KOSDAQ,2025-12-12,2025-12-12
443250,레뷰코퍼레이션,KOSDAQ,2025-12-12,2025-12-12
348150,고바이오랩,KOSDAQ,2025-12-12,2025-12-12
015590,DKME,KOSPI,2025-12-12,2025-12-12
090850,현대이지웰,KOSDAQ,2025-12-12,2025-12-12
083790,CG인바이츠,KOSDAQ,2025-12-12,2025-12-12
048550,SM C&C,KOSDAQ,2025-12-12,2025-12-12
100130,동국S&C,KOSDAQ,2025-12-12,2025-12-12
014530,극동유화,KOSPI,2025-12-12,2025-12-12
014160,대영포장,KOSPI,2025-12-12,2025-12-12
010660,화천기계,KOSPI,2025-12-12,2025-12-12
041590,플래스크,KOSDAQ,2025-12-12,2025-12-12
013310,아진산업,KOSDAQ,2025-12-12,2025-12-12
034590,인천도시가스,KOSPI,2025-12-12,2025-12-12
348080,큐라티스,KOSDAQ,2025-12-12,2025-12-12
024880,케이피에프,KOSDAQ,2025-12-12,2025-12-12
046120,오르비텍,KOSDAQ,2025-12-12,2025-12-12
